property_url;broker;district;price;type;city;state;ref;category;area;lat;long;num_bedroom;num_bathroom;num_garage;added_date;sold_date
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-america/50363;Pedro Granado Imóveis;Jardim América;R$ 270.000,00;Padrão;Maringá;PR;50363.0;Apartamento;43,46 m²;-23.4261911;-51.8897255;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/jardim-paris-vi/37073;Pedro Granado Imóveis;Jardim Paris Vi;R$ 270.000,00;Padrão;Maringá;PR;37073.0;Terreno;300,00 m²;-23.3806459;-51.9637889;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-america/74543;Pedro Granado Imóveis;Jardim América;R$ 275.000,00;Padrão;Maringá;PR;74543.0;Apartamento;45,86 m²;-23.4275669;-51.88761909999999;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-america/09653;Pedro Granado Imóveis;Jardim América;R$ 275.000,00;Padrão;Maringá;PR;9653.0;Apartamento;55,76 m²;-23.4283497;-51.8883972;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-novo-horizonte/8468;Pedro Granado Imóveis;Jardim Novo Horizonte;R$ 279.000,00;Padrão;Maringa;PR;8468.0;Apartamento;65,00 m²;-23.4391026;-51.9363596;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-das-estacoes/94763;Pedro Granado Imóveis;Jardim Das Estações;R$ 279.000,00;Padrão;Maringá;PR;94763.0;Apartamento;49,12 m²;-23.4452043;-51.978668;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-itaipu/39632;Pedro Granado Imóveis;Jardim Itaipu;R$ 280.000,00;Padrão;Maringá;PR;39632.0;Apartamento;49,12 m²;-23.4446968;-51.97869430000003;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/jardim-aurora/87053;Pedro Granado Imóveis;Jardim Aurora;R$ 280.000,00;Padrão;Maringá;PR;87053.0;Terreno;415,72 m²;-23.41507326323933;-51.97234320000001;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/casa/conjunto-joao-de-barro-porto-seguro-ii/64253;Pedro Granado Imóveis;Conjunto João De Barro Porto Seguro Ii;R$ 280.000,00;Casa;Maringá;PR;64253.0;Casa/Sobrado;309,12 m²;-23.45055081273709;-51.89752777790827;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-alvorada/85253;Pedro Granado Imóveis;Jardim Alvorada;R$ 280.000,00;Padrão;Maringá;PR;85253.0;Apartamento;46,00 m²;-23.3874291;-51.9102447;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/vila-marumby/49553;Pedro Granado Imóveis;Vila Marumby;R$ 280.000,00;Padrão;Maringá;PR;49553.0;Apartamento;80,56 m²;-23.4428609;-51.9262951;3;2;1;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/casa/jardim-itaipu/77753;Pedro Granado Imóveis;Jardim Itaipu;R$ 280.000,00;Casa;Maringá;PR;77753.0;Casa/Sobrado;303,48 m²;-23.45152797219446;-51.97545615158997;4;2;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/vila-santo-antonio/64853;Pedro Granado Imóveis;Vila Santo Antônio;R$ 280.000,00;Padrão;Maringá;PR;64853.0;Apartamento;91,05 m²;-23.4099826;-51.9282961;3;2;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/vila-vardelina/32753;Pedro Granado Imóveis;Vila Vardelina;R$ 283.000,00;Padrão;Maringá;PR;32753.0;Apartamento;51,56 m²;-23.40013573137337;-51.96582020182507;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/duplex/vila-marumby/84803;Pedro Granado Imóveis;Vila Marumby;R$ 285.000,00;Duplex;Maringá;PR;84803.0;Apartamento;109,01 m²;-23.4460858;-51.93061469999998;2;3;1;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/parque-residencial-patricia/22433;Pedro Granado Imóveis;Parque Residencial Patrícia;R$ 285.000,00;Padrão;Maringá;PR;22433.0;Terreno;391,08 m²;-23.41271480032064;-51.89950645117899;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-03/49172;Pedro Granado Imóveis;Zona 03;R$ 288.803,48;Padrão;maringa;PR;49172.0;Apartamento;53,63 m²;-23.42464205417671;-51.92674724439696;1;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/centro/1337;Pedro Granado Imóveis;Centro;R$ 290.000,00;Padrão;Maringa;PR;1337.0;Apartamento;68,11 m²;-23.4097886;-51.93500849999998;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/terreno/comercial/jardim-ipanema/19733;Pedro Granado Imóveis;Jardim Ipanema;R$ 290.000,00;Comercial;Maringá;PR;19733.0;Terreno;288,00 m²;-23.4561983;-51.9242205;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-das-estacoes/60443;Pedro Granado Imóveis;Jardim Das Estações;R$ 290.000,00;Padrão;Maringá;PR;60443.0;Apartamento;47,72 m²;-23.4461743;-51.9796035;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/vila-marumby/9425;Pedro Granado Imóveis;Vila Marumby;R$ 295.000,00;Padrão;Maringa;PR;9425.0;Apartamento;79,80 m²;-23.442991;-51.929532;3;2;1;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/casa/jardim-tres-lagoas/04352;Pedro Granado Imóveis;Jardim Três Lagoas;R$ 295.000,00;Casa;Maringá;PR;4352.0;Casa/Sobrado;72,37 m²;-23.3862106;-51.9733458;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/terreno/condominio/condominio-santa-marina/79682;Pedro Granado Imóveis;Condomínio Santa Marina;R$ 295.000,00;Condomínio;Maringá;PR;79682.0;Terreno;500,00 m²;-23.3645241;-51.94114339999999;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-tropical/35153;Pedro Granado Imóveis;Jardim Tropical;R$ 295.000,00;Padrão;Maringá;PR;35153.0;Apartamento;45,33 m²;-23.3960299;-51.9622542;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/casa/jardim-paris/65801;Pedro Granado Imóveis;Jardim Paris;R$ 299.000,00;Casa;Maringá;PR;65801.0;Casa/Sobrado;99,99 m²;-23.3855393;-51.94873639999997;2;2;1;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-das-estacoes/65651;Pedro Granado Imóveis;Jardim Das Estações;R$ 299.000,00;Padrão;Maringá;PR;65651.0;Apartamento;49,12 m²;-23.4451873;-51.9787305;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-07/7451;Pedro Granado Imóveis;Zona 07;R$ 300.000,00;Padrão;Maringá;PR;7451.0;Apartamento;75,00 m²;-23.4141763;-51.93146569999999;1;2;1;2025-04-15;
