property_url;broker_x;district_x;price_x;type_x;city_x;state_x;ref_x;category_x;area_x;lat_x;long_x;num_bedroom_x;num_bathroom_x;num_garage_x;broker_y;district_y;price_y;type_y;city_y;state_y;ref_y;category_y;area_y;lat_y;long_y;num_bedroom_y;num_bathroom_y;num_garage_y;added_date
https://www.leloimoveis.com.br/imovel/apartamento-3-quartos-zona-07-maringa-com-garagem-70m2-venda-rs-160000?id=79900&ref=79900.12646;Lelo Imóveis;Zona 07;R$ 160.000,00;;Maringa;PR;79900.12646;Apartamento;70,02m²;-23.4061618;-51.9443444;3;;1;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/casa-residencial-jardim-alvorada-iii-maringa-165m2-venda-rs-408000?id=79900&ref=79900.12712;Lelo Imóveis;Jardim Alvorada III;R$ 408.000,00;;Maringa;PR;79900.12712;Casa;165,00m²;-23.3857172;-51.9106386;;;;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/terreno-jardim-monte-rei-maringa-300m2-venda-rs-350000?id=79900&ref=79900.12711;Lelo Imóveis;Jardim Monte Rei;R$ 350.000,00;;Maringa;PR;79900.12711;Terreno;300,00m²;-23.3789606;-51.9559311;;;;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/apartamento-3-quartos-jardim-cerro-azul-maringa-com-garagem-146m2-venda-rs-550000?id=79900&ref=79900.12193;Lelo Imóveis;Jardim Cerro Azul;R$ 550.000,00;;Maringa;PR;79900.12193;Apartamento;146,00m²;-23.4405355;-51.9370439;3;;2;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/terreno-jardins-de-monet-residence-maringa-540m2-venda-rs-749000?id=79900&ref=79900.11783;Lelo Imóveis;Jardins de Monet Residence;R$ 749.000,00;;Maringa;PR;79900.11783;Terreno;540,75m²;-23.3620666;-52.0085711;;;;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/apartamento-3-quartos-zona-01-maringa-com-garagem-241m2-venda-rs-760000?id=79900&ref=79900.11851;Lelo Imóveis;Zona 01;R$ 760.000,00;;Maringa;PR;79900.11851;Apartamento;241,62m²;-23.4240571;-51.9426816;3;;2;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/apartamento-3-quartos-zona-07-maringa-com-garagem-231m2-venda-rs-1649000?id=79900&ref=79900.11371;Lelo Imóveis;Zona 07;R$ 1.649.000,00;;Maringa;PR;79900.11371;Apartamento;231,72m²;-23.4147637;-51.9359941;3;;2;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/apartamento-3-quartos-zona-07-maringa-com-garagem-116m2-venda-rs-350000?id=79900&ref=02904.001;Lelo Imóveis;Zona 07;R$ 350.000,00;;Maringa;PR;2904.001;Apartamento;116,36m²;-23.4148042;-51.9405613;3;;1;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/casa-residencial-3-quartos-jardim-paris-maringa-com-garagem-150m2-venda-rs-560000?id=79900&ref=79900.10634;Lelo Imóveis;Jardim Paris;R$ 560.000,00;;Maringa;PR;79900.10634;Casa;150,00m²;-23.386098;-51.9513856;3;;2;;;;;;;;;;;;;;;2025-02-13
https://www.silvioiwata.com.br/imovel/3620005617/apartamento-a-venda/maringa-pr-chacaras-aeroporto ;Silvio Iwata;Chácaras Aeroporto;R$ 205.000,00;;Maringá;PR;;Apartamento;44,00 m²;-23.47484;-51.9069519;2;1;1;;;;;;;;;;;;;;;2025-02-13
