property_url;broker_x;district_x;price_x;type_x;city_x;state_x;ref_x;category_x;area_x;lat_x;long_x;num_bedroom_x;num_bathroom_x;num_garage_x;broker_y;district_y;price_y;type_y;city_y;state_y;ref_y;category_y;area_y;lat_y;long_y;num_bedroom_y;num_bathroom_y;num_garage_y;sold_date
https://www.silvioiwata.com.br/imovel/3620004520/terreno-a-venda/maringa-pr-jd-espanha ;Silvio Iwata;;R$ 299.000,00;;Maringá;PR;;Terreno;400,00 m²;-23.4612815;-51.9622323;;;;;;;;;;;;;;;;;;2025-02-13
https://www.silvioiwata.com.br/imovel/3620004740/casa-a-venda/maringa-pr-zona-04 ;Silvio Iwata;;R$ 790.000,00;;Maringá;PR;;Casa;100,00 m²;-23.4209995;-51.9330558;2.0;2.0;1;;;;;;;;;;;;;;;2025-02-13
https://www.silvioiwata.com.br/imovel/3620004622/sala-comercial-a-venda/maringa-pr-zona-05 ;Silvio Iwata;;R$ 1.100.000,00;;Maringá;PR;;Sala Comercial;257,00 m²;-23.4249179;-51.9611796;;2.0;;;;;;;;;;;;;;;;2025-02-13
https://www.silvioiwata.com.br/imovel/3620004246/casa-a-venda/maringa-pr-pq-res-cidade-nova ;Silvio Iwata;;R$ 1.199.900,00;;Maringá;PR;;Casa;197,00 m²;-23.3924122;-51.9367099;4.0;3.0;3;;;;;;;;;;;;;;;2025-02-13
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-alvorada/03533;Pedro Granado Imóveis;Jardim Alvorada;R$ 205.000,00;Padrão;Maringá;PR;3533.0;Apartamento;46,25 m²;-23.3906541;-51.908611;2;1.0;-;;;;;;;;;;;;;;;2025-02-14
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-itaipu/89153;Pedro Granado Imóveis;Jardim Itaipu;R$ 220.000,00;Padrão;Maringá;PR;89153.0;Apartamento;43,84 m²;-23.4489462;-51.9812007;2;1.0;-;;;;;;;;;;;;;;;2025-02-14
https://www.pedrogranado.com.br/alugar/maringa/apartamento/padrao/jardim-aclimacao/67343;Pedro Granado Imóveis;Jardim Aclimacao;R$ 425.000,00 (V) - R$ 2.300,00 (L);Padrão;Maringá;PR;67343.0;Apartamento;50,83 m²;-23.4209995;-51.9330558;2;1.0;-;;;;;;;;;;;;;;;2025-02-14
https://www.leloimoveis.com.br/imovel/casa-residencial-2-quartos-jardim-paris-maringa-com-garagem-72m2-venda-locacao-rs-498000-rs-1500?id=79900&ref=05857.001;Lelo Imóveis;Jardim Paris;R$ 498.000,00;;Maringa;PR;5857.001;Casa;72,86m²;-23.3831845;-51.952098;2;;3;;;;;;;;;;;;;;;2025-02-14
https://www.leloimoveis.com.br/imovel/casa-residencial-3-quartos-cidade-moncoes-maringa-com-garagem-515m2-venda-rs-3800000?id=79900&ref=79900.12565;Lelo Imóveis;Cidade Moncoes;R$ 3.800.000,00;;Maringa;PR;79900.12565;Casa;515,00m²;-23.4447371;-51.9418641;3;;3;;;;;;;;;;;;;;;2025-02-14
https://www.leloimoveis.com.br/imovel/terreno-jardim-paris-maringa-198m2-venda-rs-498000?id=79900&ref=79900.12469;Lelo Imóveis;Jardim Paris;R$ 498.000,00;;Maringa;PR;79900.12469;Terreno;198,30m²;-23.3831845;-51.952098;;;;;;;;;;;;;;;;;;2025-02-14
https://www.leloimoveis.com.br/imovel/apartamento-4-quartos-zona-07-maringa-com-garagem-257m2-venda-locacao-rs-650000-rs-2500?id=79900&ref=05739.001;Lelo Imóveis;Zona 07;R$ 650.000,00;;Maringa;PR;5739.001;Apartamento;257,37m²;-23.4162057;-51.9480214;4;;2;;;;;;;;;;;;;;;2025-02-14
https://www.leloimoveis.com.br/imovel/apartamento-3-quartos-zona-07-maringa-com-garagem-210m2-venda-rs-730000?id=79900&ref=05469.001;Lelo Imóveis;Zona 07;R$ 730.000,00;;Maringa;PR;5469.001;Apartamento;210,11m²;-23.4132938;-51.9440248;3;;2;;;;;;;;;;;;;;;2025-02-14
https://www.leloimoveis.com.br/imovel/apartamento-2-quartos-zona-07-maringa-92m2-venda-rs-200000?id=79900&ref=03991.001;Lelo Imóveis;Zona 07;R$ 200.000,00;;Maringa;PR;3991.001;Apartamento;92,24m²;-23.408432;-51.9435909;2;;;;;;;;;;;;;;;;;2025-02-14
